damage_grade,ems98_name,is13935_name,structural_damage,non_structural_damage,masonry_indicators,rc_indicators,is13935_retrofitting_action,source_document,source_location
0,No damage,No damage,none,none,No visible damage,No visible damage,not_needed,EMS_98;IS_13935_2009,EMS-98 pp.17-20; IS 13935 Table 1 p.5
1,Negligible to slight damage,Negligible to slight damage,no_structural_damage,slight,Hair-line cracks in very few walls; fall of small pieces of plaster,Fine cracks in plaster over frame members or in structural walls at base; fine hairline cracks in partitions,not_needed,EMS_98;IS_13935_2009,EMS-98 p.15-16; IS 13935 Table 9 p.29
2,Moderate damage,Moderate damage,slight_structural,moderate,Cracks in many walls; fall of fairly large pieces of plaster; partial collapse of chimneys,Cracks in columns and beams; cracks in structural shear walls; cracks in partition/infill walls; fall of brittle cladding,non_structural_stabilization,EMS_98;IS_13935_2009,EMS-98 p.15-16; IS 13935 Table 1 p.5; Table 9 p.29
3,Substantial to heavy damage,Substantial to heavy damage,moderate_structural,heavy,Large and extensive cracks in most walls; roof tiles detach; chimneys fracture at roof line; failure of individual non-structural elements,Cracks in columns and beam-column joints at base; spalling of concrete cover; buckling of reinforcing rods; large cracks in partitions; out-of-plane failure of infill panels,full_structural_and_non_structural_retrofit,EMS_98;IS_13935_2009,EMS-98 p.15-16; IS 13935 Table 1 p.5; Table 9 p.29
4,Very heavy damage,Very heavy damage,heavy_structural,very_heavy,Serious wall failure with gaps; inner walls collapse; partial structural failure of roofs and floors,Large cracks with compression crushing; fracture of reinforcing bars; bond failure; tilting of columns; collapse of few columns or single upper floor pancake,retrofit_or_replace,EMS_98;IS_13935_2009,EMS-98 p.15-16; IS 13935 Table 1 p.5; Table 9 p.29
5,Destruction,Destruction,very_heavy_structural,total,Total or near-total collapse; disintegration of bearing walls; floors pancake to ground,Ground floor soft-storey pancake collapse or total collapse of entire wings/building,replace_or_major_retrofit,EMS_98;IS_13935_2009,EMS-98 p.15-16; IS 13935 Table 1 p.5; Table 9 p.29
