image_id,filename,source_page,original_image_url,caption,source_collection
iitk_rc_001,iitk_rc_001_Skj0_23.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj0_23.jpg,Total collapse of a portion of a 10-storey residential building in Ahmedabad.,IITK_NICEE_Bhuj_RC
iitk_rc_002,iitk_rc_002_Skj0_26.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj0_26.jpg,Total collapse of a portion of a 10-storey residential building in Ahmedabad.,IITK_NICEE_Bhuj_RC
iitk_rc_003,iitk_rc_003_D02_10.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D02_10.jpg,Pancake collapse of 4-storey L-shaped RC framed school building in Ahmedabad.,IITK_NICEE_Bhuj_RC
iitk_rc_004,iitk_rc_004_D23_06.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D23_06.jpg,Collapse of open ground storey RC frame residential building in Bhuj.,IITK_NICEE_Bhuj_RC
iitk_rc_005,iitk_rc_005_D23_05.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D23_05.jpg,Numerous cases of dislodging of the weakly connected overhead storage water tanks were observed in the entire earthquake affected area. Picture shows dislodging of water tank appendages from atop unfinished and finished RC frame buildings in Bhuj.,IITK_NICEE_Bhuj_RC
iitk_rc_006,iitk_rc_006_D25_04r.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D25_04r.jpg,Collapse of intermediate storey in a 6-storey RC frame commercial building at Bhuj.,IITK_NICEE_Bhuj_RC
iitk_rc_007,iitk_rc_007_D27_01.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D27_01.jpg,Ground storey collapse of a 4-storey building with open ground storey at Bhuj.,IITK_NICEE_Bhuj_RC
iitk_rc_008,iitk_rc_008_skj5_02.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj5_02.jpg,Most RC buildings with open ground storeys that collapsed showed a very common practice of poor detailing; 6mm diameter lateral ties in the columns with 90o hooks and longitudinal spacing as large as 30cm. This did not provide the required confinement to the core concrete.,IITK_NICEE_Bhuj_RC
iitk_rc_009,iitk_rc_009_D43_06.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D43_06.jpg,Collapse of a portion of 6-storey residential building at Anjaar; the portion that collapsed had an open ground storey.,IITK_NICEE_Bhuj_RC
iitk_rc_010,iitk_rc_010_D04_06r.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D04_06r.jpg,"Collapse of one-half of the 14-storey RC frame residential apartment building in Ahmedabad; the collapsed portion had a swimming pool on the roof, unlike the other half that is standing.",IITK_NICEE_Bhuj_RC
iitk_rc_011,iitk_rc_011_Skj4_21.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj4_21.jpg,"At Gandhidham, the right building had ground storey collapse. The two buildings shared a common wall.",IITK_NICEE_Bhuj_RC
iitk_rc_012,iitk_rc_012_Skj4_18.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj4_18.jpg,"At Gandhidham, the right building had ground storey collapse. The two buildings shared a common wall.",IITK_NICEE_Bhuj_RC
iitk_rc_013,iitk_rc_013_Skj4_32.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj4_32.jpg,Collapse of upper storey of buildings at Gandhidham. It is suspected that this may have been caused by inadequate lap lengths in the column reinforcement.,IITK_NICEE_Bhuj_RC
iitk_rc_014,iitk_rc_014_Skj3_07.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj3_07.jpg,Collapse of upper storey of buildings at Gandhidham. It is suspected that this may have been caused by inadequate lap lengths in the column reinforcement.,IITK_NICEE_Bhuj_RC
iitk_rc_015,iitk_rc_015_Skc2_31.jpg,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/build_rc1.htm,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skc2_31.jpg,Collapse of ground storey of a two-storey RC frame building in Manfara village.,IITK_NICEE_Bhuj_RC
