image_id,filename,source_page,original_image_url,caption
bhuj_2001_slideshare_015,015_Earthquack-2001-Bhuj-Gujarat-15-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-15-2048.jpg,Partial collapse of the roof and brick chimney at the Mangalore roof tile factory near Morbi. 15 Close-up view shows the cyclic shear cracks in the upper portion of another precariously balanced brick chimney near Morbi.
bhuj_2001_slideshare_016,016_Earthquack-2001-Bhuj-Gujarat-16-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-16-2048.jpg,Small Block Stone Masonry Collapse of upper story of a commercial building in old Bhuj. Out-of-plane collapse of masonry wall. 16
bhuj_2001_slideshare_017,017_Earthquack-2001-Bhuj-Gujarat-17-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-17-2048.jpg,Large Block Stone Masonry collapse of staircase and collapse of the corner of two storey large block stone masonry houses without lintel bands in Bhuj. 17
bhuj_2001_slideshare_018,018_Earthquack-2001-Bhuj-Gujarat-18-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-18-2048.jpg,Total collapse of traditional houses in random rubble stone masonary with mud mortar at Maliya and Samakhyali villages. 18 Random Rubble Masonry
bhuj_2001_slideshare_019,019_Earthquack-2001-Bhuj-Gujarat-19-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-19-2048.jpg,Damage to the Bhid gate at Bhuj. This gate seems to have been rehabilitated earlier also. 19 Monumental Structures Partial collapse of the walls of the historic fort at Bhuj.
bhuj_2001_slideshare_020,020_Earthquack-2001-Bhuj-Gujarat-20-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-20-2048.jpg,Collapse of the temple pagodas made of large block stone masonry at Halvad near Ahmedabad. 20 Partially collapsed pagoda at the palace at Morbi.
bhuj_2001_slideshare_021,021_Earthquack-2001-Bhuj-Gujarat-21-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-21-2048.jpg,"Surajbadi sustained severe damage at the bearings at most piers, and has lateral movement of the deck at one of the piers. Close-up view of the damage sustained at the bearings on most piers of the old Surajbadi bridge. 21 Bridge"
bhuj_2001_slideshare_022,022_Earthquack-2001-Bhuj-Gujarat-22-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-22-2048.jpg,Damage to the unequal- height bed blocks at the RC bridge near Vondh. 22 A number of old masonry arch bridges for Indian railways sustained extensive damage. This bridge is about 88 years old.
bhuj_2001_slideshare_023,023_Earthquack-2001-Bhuj-Gujarat-23-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-23-2048.jpg,Earth Dams Damages on Tappar Dam Lateral spreading at the toe of the Kaswati Dam. 23
bhuj_2001_slideshare_024,024_Earthquack-2001-Bhuj-Gujarat-24-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-24-2048.jpg,Failure of the upstream slope of the Fatehgadh dam. downstream section of Rudramata. 24 Cracks on the Suvi dam
bhuj_2001_slideshare_025,025_Earthquack-2001-Bhuj-Gujarat-25-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-25-2048.jpg,"Rail,Road and Highway Embankments • Massive slope failure of the rail-road embankment near Navlakhi port resulting in fracture of rails, and damage to prestressed concrete sleepers. • The rails were hanging by about 1.0 to 1.5 meters after the earthquake. 25"
bhuj_2001_slideshare_026,026_Earthquack-2001-Bhuj-Gujarat-26-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-26-2048.jpg,Damage to highway pavement near Rapar due to lateral spreading of soil. Damage to kerb of highway pavement due to lateral spreading of soil. 26
bhuj_2001_slideshare_027,027_Earthquack-2001-Bhuj-Gujarat-27-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-27-2048.jpg,"Geotechnical Damages • The earthquake caused excellent examples of large-scale liquefaction and embankment failures. • The Great Runn of Kutch, the Arabian Sea and the Little Runn of Kutch lock the affected area on its three sides. • This enclosed area at near sea level sustained extensive liquefaction. (a phenomenon of quicksand condition by virtue of which the soil looses the capacity to hold structures in place). Liquefaction Effects Extensive liquefaction in the Runn of Kutch; this did not affect the performance of the high-tension transmission lines in the area. 27"
bhuj_2001_slideshare_028,028_Earthquack-2001-Bhuj-Gujarat-28-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-28-2048.jpg,Extensive liquefaction near a 3-storey RC frame office building at Kandla port; building sustained only minor cracks in the walls. Extensive liquefaction near India Bridge at Khawda (The Great Runn of Kutch). 28
bhuj_2001_slideshare_029,029_Earthquack-2001-Bhuj-Gujarat-29-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-29-2048.jpg,The area also offered examples of good RC detailing Preventive Measures
bhuj_2001_slideshare_030,030_Earthquack-2001-Bhuj-Gujarat-30-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-30-2048.jpg,A structural steel member was placed adjoining the RC damaged column. The old columns together with the adjoining steel member were jacketed with concrete. Retrofitting
bhuj_2001_slideshare_031,031_Earthquack-2001-Bhuj-Gujarat-31-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-31-2048.jpg,• Retrofitting of weak structures in highly seismic zones. • The new frame to be encased in concrete rested on the finished ground floor and not carried to the foundation. Even the plaster of beams and columns was not removed.
bhuj_2001_slideshare_032,032_Earthquack-2001-Bhuj-Gujarat-32-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-32-2048.jpg,32 http://www.nicee.org/Bhuj.php References http://en.wikipedia.org/wiki/2001_Gujarat_earthquake http://asc-india.org/lib/20010126-kachchh.htm http://www.geerassociation.org/GEER_Post%20EQ %20Reports/Bhuj_2001/india_photo.html
bhuj_2001_slideshare_033,033_Earthquack-2001-Bhuj-Gujarat-33-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-33-2048.jpg,THANK 33 YOU
